Auffälligkeiten:
- die kleineren Tasks checkcontrast, loadimage und wirteimage weichen weiterhin erheblich ab
- bei sobelv/sobelh  gibt es bei 2 core eine höhere Abweichung, bei 3 core teilweise wieder näher, aber einzelne Messungen weichen erheblich ab
- grundsätzlich - die drei Messungen müssten immer annähernd gleich sein

CPUFrequency;Parallelism;apptask;apptaskduration;apptaskpower;estimationOneToOne;estimationOneToMany;diffOneToOne;diffOneToMany
2400;3;copyimage;4698 MS;10144 MJ/MS;9367 MJ/MS;8764 MJ/MS;-7.6597%;-13.6041%;

2400;3;sobelh;6368 MS;8849 MJ/MS;9430 MJ/MS;8838 MJ/MS;6.56571%;-0.124308%;
2400;3;sobelh;5690 MS;8526 MJ/MS;9258 MJ/MS;5252 MJ/MS;8.5855%;-38.4002%;
2400;3;sobelh;6053 MS;8681 MJ/MS;9252 MJ/MS;8758 MJ/MS;6.57758%;0.886995%;

2400;3;sobelv;5682 MS;8488 MJ/MS;9249 MJ/MS;5480 MJ/MS;8.9656%;-35.4383%;
2400;3;sobelv;6334 MS;8620 MJ/MS;9309 MJ/MS;9066 MJ/MS;7.99304%;5.17401%;
2400;3;sobelv;5612 MS;8651 MJ/MS;9326 MJ/MS;5451 MJ/MS;7.80257%;-36.9899%;

2400;3;combineimgs;4643 MS;10257 MJ/MS;6636 MJ/MS;8800 MJ/MS;-35.3027%;-14.2049%;
2400;3;combineimgs;4580 MS;10250 MJ/MS;6619 MJ/MS;8832 MJ/MS;-35.4244%;-13.8341%;
2400;3;combineimgs;4944 MS;10239 MJ/MS;6813 MJ/MS;8923 MJ/MS;-33.4603%;-12.8528%;

2400;3;writeimage;4707 MS;8898 MJ/MS;6218 MJ/MS;3864 MJ/MS;-30.1191%;-56.5745%;
2400;3;writeimage;5369 MS;8948 MJ/MS;6813 MJ/MS;5852 MJ/MS;-23.8601%;-34.5999%;
2400;3;writeimage;4763 MS;8791 MJ/MS;5753 MJ/MS;4719 MJ/MS;-34.5581%;-46.3201%;

2200;1;checkcontrast;5384 MS;4685 MJ/MS;4012 MJ/MS;3568 MJ/MS;-14.365%;-23.842%;
2200;1;checkcontrast;5391 MS;4643 MJ/MS;3994 MJ/MS;3544 MJ/MS;-13.978%;-23.67%;
2200;1;checkcontrast;5389 MS;4560 MJ/MS;4019 MJ/MS;3559 MJ/MS;-11.864%;-21.9518%;

2200;1;loadimage;1849 MS;5273 MJ/MS;3732 MJ/MS;3244 MJ/MS;-29.2243%;-38.479%;
2200;1;loadimage;1847 MS;5255 MJ/MS;3763 MJ/MS;3263 MJ/MS;-28.392%;-37.9068%;
2200;1;loadimage;1843 MS;5180 MJ/MS;3796 MJ/MS;3243 MJ/MS;-26.7181%;-37.3938%;

2200;1;greyscale;4896 MS;4170 MJ/MS;4513 MJ/MS;4306 MJ/MS;8.22542%;3.26139%;
